Key,polish
resourceTrophy1Desc,"Bardziej się przyda przetopione w [decea3]Piecu[-]."
resourceTrophy2,"Ołowiane Trofeum"
resourceTrophy2Desc,"Ołowiane przedmioty można przetopić w [decea3]Piecu[-] do ich bazowego surowca."
resourceWood,"Odzyskane Stare Deski"
resourceWoodDesc,"Stare deski, niestety niezbyt przydatne"
schematicGeneralGroupDesc,"Pozwala nauczyć się tworzenia tego przedmiotu."
shotgunTurretSchematic,"Wieżyczka ze strzelbą"
smallEngine,"Kompaktowy Silnik"
smallEngineDesc,"Mały silnik do pojazdów lub narzędzi"
speakerSchematic,"Głośnik elektryczny"
spotlightPlayerSchematic,"Reflektor elektryczny"
switchSchematic,"Przełącznik elektryczny"
toolBeaker,"Zlewka"
toolBeakerDesc,"Potrzebna do stworzenia stacji chemicznej."
toolBellows,"Miech"
toolBellowsDesc,"Pomaga w dostarczaniu powietrza do pieca, przyśpiesza tworzenie w nim o [decea3]25%[-]"
toolBellowsSchematic,"[B2DFFF]Schemat Miechu[-]"
toolBellowsSchematicDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
resourceYuccaFibers,"Włókna Roślinne"
resourceYuccaFibersDesc,"Włókna roślinne uzyskane ze zrywania traw i małych roślin. Użyteczne przyy tworzeniu różnych rzeczy. Drugim użyciem trzymając je w ręce można siać trawę."
thrownDynamite,"Dynamit"
thrownDynamiteDesc,"Może zostać zapalona drugim użyciem i rzucona podstawowym. Rzucenie jej jest dosyć ważną cześcią procesu."
thrownDynamiteSchematic,"Dynamit"
thrownAmmoPipeBomb,"Bomba rurowa"
thrownAmmoPipeBombSchematic,"Bomba rurowa"
thrownGrenade,"Granat"
thrownGrenadeSchematic,"Granat"
thrownGrenadeContact,"Granat Kontaktowy"
thrownGrenadeContactSchematic,"Granat Kontaktowy"
thrownTimedCharge,"Ładunek Wybuchowy"
toolAnvil,"Kowadło"
toolAnvilDesc,"Potrzebne do stworzenia [decea3]Kuźni Kowalskiej (Poziom 2)[-], Co pozwoli na kształtowanie zaawansowanych metali."
toolAnvilSchematic,"Kowadło"
toolForgeCrucible,"Tygiel"
toolForgeCrucibleDesc,"Niezbędny do tworzenia [decea3]Pieca (Poziom 2)[-]. Pozwoli na pracę ze srebrem, złotem, stalą i tytanem."
toolForgeCrucibleSchematic,"Tygiel"
vehicle4x4TruckAccessoriesSchematic,"Akcesoria 4x4"
vehicle4x4TruckChassisSchematic,"Rama 4x4"
vehicle4x4TruckPlaceable,"Ranger 4x4"
vehicle4x4TruckPlaceableDesc,"Działający Pojazd. Alternatywnym użyciem możesz postawić go w świecie."
vehicleBicycleHandlebarsSchematic,"Kierownica rowerowa"
vehicleBicycleChassisSchematic,"Rama roweru"
vehicleBicyclePlaceable,"Rower"
vehicleBicyclePlaceableDesc,"Działający Pojazd. Alternatywnym użyciem możesz postawić go w świecie."
vehicleGyroCopterAccessoriesSchematic,"Akcesoria Żyrokoptera"
vehicleGyroCopterChassisSchematic,"Rama Żyrokoptera"
vehicleGyrocopterPlaceable,"Żyrokopter"
vehicleGyrocopterPlaceableDesc,"Działający Pojazd. Alternatywnym użyciem możesz postawić go w świecie."
vehicleMinibikeChassisSchematic,"Rama Motorynki"
vehicleMinibikeHandlebarsSchematic,"Kierownica Motorynki"
vehicleMinibikePlaceable,"Motorynka"
vehicleMinibikePlaceableDesc,"Działający Pojazd. Alternatywnym użyciem możesz postawić go w świecie."
vehicleMotorcycleChassisSchematic,"Rama Motocyklu"
vehicleMotorcycleHandlebarsSchematic,"Kierownica Motocyklu"
vehicleMotorcyclePlaceable,"Motocykl"
vehicleMotorcyclePlaceableDesc,"Działający Motocykl. Alternatywnym użyciem możesz postawić go w świecie."
workbenchSchematic,"Warsztat"
mineCookingPotBlueprint,"[B2DFFF]Schemat Miny z Garnka[-]"
mineCookingPotBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
rScrapIronPlateMineBlueprint,"[B2DFFF]Mina z Płyty Dociskowej[-]"
rScrapIronPlateMineBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
mineHubcapBlueprint,"[B2DFFF]Schemat Miny z Kołpaka[-]"
mineHubcapBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
thrownTimedChargeBlueprint,"[B2DFFF]Schemat Ładunku Czasowego[-]"
thrownTimedChargeBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
mineAirFilterBlueprint,"[B2DFFF]Schemat Miny z Filtra Powietrza[-]"
mineAirFilterBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorIronSetSchematic,"Żelazny Pancerz"
armorIronHelmetBlueprint,"Żelazny Hełm"
armorIronHelmetBlueprintDesc,""Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP.""
armorIronChestBlueprint,"Żelazny Napierśnik"
armorIronChestBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorIronGlovesBlueprint,"Żelazne Rękawice"
armorIronGlovesBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorIronLegsBlueprint,"Żelazny Pancerz na Nogi"
armorIronLegsBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorIronBootsBlueprint,"Żelazne Buty"
armorIronBootsBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorSteelHelmetBlueprint,"Stalowy Hełm"
armorSteelHelmetBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorSteelChestBlueprint,"Stalowy Napierśnik"
armorSteelChestBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorSteelGlovesBlueprint,"Stalowe Rękawice"
armorSteelGlovesBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorSteelLegsBlueprint,"Stalowy Pancerz na Nogi"
armorSteelLegsBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorSteelBootsBlueprint,"Stalowe Buty"
armorSteelBootsBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorLeatherSetSchematic,"Skórzany Pancerz"
armorLeatherHelmetBlueprint,"Skórzana Helmet"
armorLeatherHelmetBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorLeatherChestBlueprint,"Skórzana Kamizelka"
armorLeatherChestBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorLeatherGlovesBlueprint,"Skórzane Rękawice"
armorLeatherGlovesBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorLeatherLegsBlueprint,"Skórzany Pancerz na Nogi"
armorLeatherLegsBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorLeatherBootsBlueprint,"Skórzane Buty"
armorLeatherBootsBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorMilitarySetSchematic,"Wojskowy Pancerz"
armorMilitaryHelmetBlueprint,"Military Helmet"
armorMilitaryHelmetBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorMilitaryChestBlueprint,"Wojskowa Kamizelka"
armorMilitaryChestBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorMilitaryGlovesBlueprint,"Wojskowe Rękawice"
armorMilitaryGlovesBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorMilitaryLegsBlueprint,"Wojskowy Pancerz na Nogi"
armorMilitaryLegsBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorMilitaryBootsBlueprint,"Wojskowe Buty"
armorMilitaryBootsBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
meleeToolRepairT1ClawHammerBlueprint,"Młotek"
meleeToolRepairT1ClawHammerBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
meleeToolAxeT1IronFireaxeBlueprint,"Żelazny Topór"
meleeToolAxeT1IronFireaxeBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
meleeToolPickT1IronPickaxeBlueprint,"Żelazna Kilof"
meleeToolPickT1IronPickaxeBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
meleeToolShovelT1IronShovelBlueprint,"Żelazny Łopata"
meleeToolShovelT1IronShovelBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
meleeToolAxeT2SteelAxeBlueprint,"Stalowy Topór"
meleeToolAxeT2SteelAxeBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
meleeToolPickT2SteelPickaxeBlueprint,"Stalowy Kilof"
meleeToolPickT2SteelPickaxeBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
meleeToolShovelT2SteelShovelBlueprint,"Stalowa Łopata"
meleeToolShovelT2SteelShovelBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
meleeWpnBladeT3MacheteSchematic,"Maczety ze Złomu"
meleeWpnBladeT3MacheteSchematicDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
meleeWpnClubT3SteelClubBlueprint,"Stalowa Pałka"
meleeWpnClubT3SteelClubBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
meleeWpnSpearT3SteelSpearBlueprint,"Stalowa Włócznia"
meleeWpnSpearT3SteelSpearBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
drugSteroidsBlueprint,"Sterydy"
drugSteroidsBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
drugFortBitesBlueprint,"Wzmocno-Kąski"
drugFortBitesBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
drugRecogBlueprint,"Recog"
drugRecogBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ceilingLight01_playerBlueprint,"Prosta Żarówka"
ceilingLight01_playerBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
industrialLight01_playerBlueprint,"Lampa Przemysłowa"
industrialLight01_playerBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
industrialLight02_playerBlueprint,"Żarówka Przemysłowa"
industrialLight02_playerBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ceilingLight07_playerBlueprint,"Lampa Fluorescencyjna"
ceilingLight07_playerBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
electricwirerelayBlueprint,"Electric Wire Relay"
electricwirerelayBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
pressureplateLongBlueprint,"Płyta Naciskowa 1x5"
pressureplateLongBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
tripwirepostBlueprint,"Linka Sygnałowa"
tripwirepostBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
garageDoorMetal_v1PoweredBlueprint,"Zasilane Stalowe Drzwi Garażowe 3x2"
garageDoorMetal_v1PoweredBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
vaultDoor03_PoweredBlueprint,"Zasilane Drzwi Skarbca v3"
vaultDoor03_PoweredBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
vaultHatch_v3_PoweredBlueprint,"Zasilany Właz Skarbca v3"
vaultHatch_v3_PoweredBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
garageDoorIndustrial_PoweredBlueprint,"Zasilane Stalowe Drzwi Garażowe 5x3"
garageDoorIndustrial_PoweredBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
metalReinforcedWoodDrawBridgePoweredBlueprint,"Zasilany Wzmocniony Most Zwodzony"
metalReinforcedWoodDrawBridgePoweredBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
vehicleWheelsBlueprint,"Koło"
vehicleWheelsBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
carBatteryBlueprint,"Akumulator"
carBatteryBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
armorMiningHelmetBlueprint,"Hełm Górniczy"
armorMiningHelmetBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmAmmo10mmRoundHPBlueprint,"Naboje 10mm (HP)"
ulmAmmo10mmRoundHPBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmAmmo10mmRoundAPBlueprint,"Naboje 10mm (AP)"
ulmAmmo10mmRoundAPBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmAmmo38CalRoundHPBlueprint,"Naboje .38 (HP)"
ulmAmmo38CalRoundHPBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmAmmo38CalRoundAPBlueprint,"Naboje .38 (AP)"
ulmAmmo38CalRoundAPBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmAmmo556mmRoundHPBlueprint,"Naboje 5.56mm (HP)"
ulmAmmo556mmRoundHPBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmAmmo556mmRoundAPBlueprint,"Naboje 5.56mm (AP)"
ulmAmmo556mmRoundAPBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmAmmo792mmRoundHPBlueprint,"Naboje 7.92mm (HP)"
ulmAmmo792mmRoundHPBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmAmmo792mmRoundAPBlueprint,"Naboje 7.92mm (AP)"
ulmAmmo792mmRoundAPBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationArtisan_1Blueprint,"Stacja Rzemieślnicza"
ulmStationArtisan_1BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationArtisan_2Blueprint,"Stacja Rzemieślnicza (Poziom 2)"
ulmStationArtisan_2BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationBallistics_1Blueprint,"Stacja Balistyczna"
ulmStationBallistics_1BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationBallistics_2Blueprint,"Stacja Balistyczna (Poziom 2)"
ulmStationBallistics_2BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationCarpenter_2Blueprint,"Stacja Stolarska (Poziom 2)"
ulmStationCarpenter_2BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationCarpenter_3Blueprint,"Stacja Stolarska (Poziom 3)"
ulmStationCarpenter_3BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationForge_1Blueprint,"Kuźnia Kowalska"
ulmStationForge_1BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationForge_2Blueprint,"Kuźnia Kowalska (Poziom 2)"
ulmStationForge_2BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationFurnace_2Blueprint,"Piec (Poziom 2)"
ulmStationFurnace_2BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationMaintenance_1Blueprint,"Maintenance Station"
ulmStationMaintenance_1BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationMaintenance_2Blueprint,"Maintenance Station (Poziom 2)"
ulmStationMaintenance_2BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationMaintenance_3Blueprint,"Maintenance Station (Poziom 3)"
ulmStationMaintenance_3BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationMechanic_1Blueprint,"Stacja Mechanika"
ulmStationMechanic_1BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationMechanic_2Blueprint,"Stacja Mechanika (Poziom 2)"
ulmStationMechanic_2BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationResearch_2Blueprint,"Stacja Badań (Poziom 2)"
ulmStationResearch_2BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationResearch_3Blueprint,"Stacja Badań (Poziom 3)"
ulmStationResearch_3BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationTailor_1Blueprint,"Stacja Krawiecka"
ulmStationTailor_1BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationWorkbench_2Blueprint,"Stacja Robocza (Poziom 2)"
ulmStationWorkbench_2BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmStationWorkbench_3Blueprint,"Stacja Robocza (Poziom 3)"
ulmStationWorkbench_3BlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmTrapPoweredSpikesBlueprint,"Pułapka z Kolcami"
ulmTrapPoweredSpikesBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmBlockLightVariantHelperBlueprint,"Lampa Sufitowa"
ulmBlockLightVariantHelperBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeAxeScrapIronBlueprint,"Toporek ze Złomu"
ulmMeleeAxeScrapIronBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeGreataxeScrapIronBlueprint,"Dwuręczny Topór ze Złomu"
ulmMeleeGreataxeScrapIronBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeKatanaScrapIronBlueprint,"Katana ze Złomu"
ulmMeleeBladeKatanaScrapIronBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeKnifeScrapIronBlueprint,"Nóż ze Złomu"
ulmMeleeBladeKnifeScrapIronBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmToolPickaxeScrapIronBlueprint,"Kilof ze Złomu"
ulmToolPickaxeScrapIronBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeSledgeScrapIronBlueprint,"Młot ze Złomu"
ulmMeleeSledgeScrapIronBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmToolShovelScrapIronBlueprint,"Łopata ze Złomu"
ulmToolShovelScrapIronBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeKnifeCombatIronBlueprint,"Żelazny Nóż Bojowy"
ulmMeleeBladeKnifeCombatIronBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeKnifeKunaiBlueprint,"Żelazny Nóż"
ulmMeleeBladeKnifeKunaiBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeMacheteIronBlueprint,"Żelazna Maczeta"
ulmMeleeBladeMacheteIronBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeSwordIronBlueprint,"Żelazny Miecz"
ulmMeleeBladeSwordIronBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeKnifeCombatSteelBlueprint,"Stalowy Nóż Bojowy"
ulmMeleeBladeKnifeCombatSteelBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeMacheteSteelBlueprint,"Stalowa Maczeta"
ulmMeleeBladeMacheteSteelBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeKatanaBlueprint,"Stalowa Katana"
ulmMeleeBladeKatanaBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeZweihanderBlueprint,"Stalowy Miecz Dwuręczny"
ulmMeleeBladeZweihanderBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeAxeTitaniumBlueprint,"Tytanowy Topór"
ulmMeleeAxeTitaniumBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeKatanaTitaniumBlueprint,"Tytanowa Katana"
ulmMeleeBladeKatanaTitaniumBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeSpearTitaniumBlueprint,"Tytanowa Włócznia"
ulmMeleeSpearTitaniumBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
ulmMeleeBladeMacheteTitaniumBlueprint,"Tytanowa Maczeta"
ulmMeleeBladeMacheteTitaniumBlueprintDesc,"Pozwala nauczyć się tworzenia przedmiotu. Jak już znasz przepis - da tylko XP."
